국가명,국가 한줄소개
가나,"서아프리카의 황금 해안으로 불리며, 활기찬 문화와 풍부한 역사, 따뜻한 환대가 특징인 나라"
가봉,"울창한 열대 우림과 해안선, 풍부한 야생동물이 가득한 자연의 보고"
가이아나,"남아메리카 유일의 영어 사용국으로, 거대한 폭포와 울창한 열대우림 등 풍부한 자연이 인상적인 나라"
감비아,"아프리카에서 가장 작은 나라 중 하나로, 서아프리카의 문화와 강변의 풍경이 아름다운 곳"
과테말라,"고대 마야 문명의 유적과 화려한 색감의 전통 시장이 있는 중앙아메리카의 나라"
그레나다,"향신료와 초콜릿의 섬으로 불리며, 아름다운 해변과 열대 우림이 있는 곳"
그리스,"아름다운 에게해와 파르테논 신전 등 고대 문명의 유산이 빛나는, 철학과 민주주의의 발상지"
기니,"서아프리카의 풍부한 광물 자원과 다양한 부족 문화가 공존하는 나라"
기니비사우,"아름다운 해안과 열대우림, 그리고 활기찬 문화가 있는 서아프리카의 작은 나라"
나미비아,"세상에서 가장 오래된 나미브 사막과 독일 식민지 시대의 건축물이 조화로운 곳"
나우루,"세계에서 가장 작은 섬나라 중 하나로, 한때 인광석 수출로 부유했던 나라"
나이지리아,"아프리카 최대의 인구와 경제 규모를 자랑하며, 활기찬 도시와 다양한 문화가 공존하는 곳"
남수단,"2011년 독립한 신생국으로, 나일강의 아름다운 풍경과 역동적인 부족 문화가 특징"
남아프리카 공화국,"아프리카의 다양한 문화와 인종이 어우러진 역동적인 나라, 테이블 마운틴과 희망봉의 절경"
네덜란드,"풍차와 튤립의 나라, 운하가 흐르는 아름다운 도시와 자유로운 분위기"
네팔,"히말라야 산맥의 장엄한 풍경과 신비로운 불교 문화가 어우러진 나라, 트레킹의 성지"
노르웨이,"수많은 빙하가 깎아 만든 웅장한 피오르와 오로라가 아름답게 펼쳐지는 신비로운 나라"
뉴질랜드,"반지의 제왕 촬영지로 유명한 아름다운 자연, 드넓은 초원과 빙하가 공존하는 청정의 나라"
니제르,"거대한 니제르강과 사막의 풍경, 그리고 풍부한 역사를 가진 서아프리카의 나라"
니카라과,"활화산과 대형 호수, 그리고 식민지 시대의 건축물이 아름다운 곳"
대만,"현대적인 도시와 아름다운 자연, 그리고 맛있는 길거리 음식이 가득한 섬나라"
덴마크,"동화 작가 안데르센의 고향, 자전거 타기 좋은 평화로운 도시와 휘게(Hygge) 문화가 발달한 나라"
도미니카 공화국,"크리스토퍼 콜럼버스가 처음 도착한 곳, 아름다운 해변과 리조트가 가득한 나라"
도미니카,"카리브해의 자연의 섬, 울창한 열대우림과 온천, 그리고 활화산이 있는 곳"
독일,"맥주와 소시지, 그리고 중세 시대의 성과 숲이 아름다운 나라, 첨단 기술과 문화가 조화를 이룬다"
동티모르,"아름다운 산호초와 평화로운 자연을 가진 동남아시아의 신생 독립국"
라오스,"메콩강의 평화로운 흐름과 아름다운 불교 사원, 소박하고 순수한 풍경이 있는 나라"
라이베리아,"미국 해방 노예들이 세운 나라, 풍부한 열대 우림과 해안이 특징"
라트비아,"아르누보 건축이 아름다운 수도 리가와 숲이 우거진 국립공원이 있는 나라"
러시아,"붉은 광장과 크렘린 궁전의 웅장함부터 시베리아의 광활한 설원까지 펼쳐지는 나라"
레바논,"지중해의 아름다운 해안과 산악 지형, 고대 유적과 현대적인 도시가 조화를 이루는 중동의 파리"
레소토,"남아프리카 공화국 안에 있는 내륙국으로, 험준한 산악 지형이 특징"
루마니아,"흡혈귀 전설이 깃든 고풍스러운 성과 아름다운 카르파티아 산맥이 있는 동유럽의 나라"
룩셈부르크,"고대 요새와 현대적인 금융 중심지가 공존하는 작지만 부유한 나라"
르완다,"'천 개의 언덕'이라는 별명처럼 아름다운 산악 지형과 고릴라를 만날 수 있는 나라"
리비아,"광활한 사막과 고대 로마 유적, 아름다운 지중해 해안이 공존하는 북아프리카의 나라"
리투아니아,"아름다운 발트해 연안과 고풍스러운 수도 빌뉴스, 깊은 숲과 호수가 많은 나라"
리히텐슈타인,"알프스 산맥에 위치한 작은 공국으로, 중세 시대 성과 아름다운 풍경이 인상적"
마다가스카르,"독특한 생태계와 희귀한 동식물, 바오바브나무의 숲이 유명한 신비로운 섬나라"
마셜 제도,"수많은 산호섬과 환초로 이루어진 나라, 아름다운 바다와 독특한 문화가 있는 곳"
말라위,"아프리카에서 가장 아름다운 호수 중 하나인 말라위 호수가 있는 나라"
말레이시아,"다양한 문화와 종교가 공존하며 현대적인 도시와 아름다운 자연이 조화를 이루는 나라"
말리,"팀북투의 고대 도시와 사막의 신비로운 문화가 살아 숨 쉬는 곳"
멕시코,"고대 아즈텍과 마야 문명의 유적과 다채로운 색감의 문화, 활기 넘치는 축제가 공존하는 나라"
모나코,"화려한 카지노와 F1 그랑프리로 유명한 지중해의 작은 공국"
모로코,"신비로운 사막과 이국적인 시장, 다채로운 색감의 도시가 인상적인 나라"
모리타니,"광활한 사막과 유목 문화, 그리고 대서양 연안의 아름다운 해안선을 가진 나라"
모잠비크,"아름다운 인도양 해안과 산호초, 그리고 포르투갈 식민지 역사의 흔적이 남은 나라"
몽골,"초원의 나라, 드넓은 대지와 맑은 밤하늘 아래에서 유목민의 삶을 체험할 수 있는 곳"
미국,"자유와 기회의 땅으로 불리며, 광활한 대자연과 다양한 문화, 첨단 기술이 공존하는 나라"
미얀마,"수천 개의 황금 불탑이 신비로운 풍경을 이루는 곳, 따뜻한 미소와 순수한 자연이 있는 나라"
미크로네시아 연방,"수많은 섬으로 이루어진 나라, 다채로운 해양 생물과 원시 자연이 보존된 곳"
바누아투,"푸른 바다와 활화산, 원주민의 전통 문화가 살아있는 남태평양의 섬나라"
바레인,"진주 조개 채취로 유명한 섬나라, 고대 딜문 문명의 유적과 현대적인 도시가 공존하는 곳"
바베이도스,"영국 왕실과 오랜 역사를 공유하며, 아름다운 해변과 럼주로 유명한 섬나라"
바하마,"수많은 섬과 깨끗한 바다, 그리고 핑크빛 모래 해변으로 유명한 휴양지"
방글라데시,"활기찬 시장과 다양한 인종, 풍부한 문화가 살아 숨 쉬는 강과 삼각주의 나라"
베냉,"부두교의 발상지, 역사적인 유적과 다채로운 축제가 열리는 나라"
