축제명,국가,도시/지역,시기,주제,특징,공식/정보 사이트,개최일
Udaipur World Music Festival,인도,우다이푸르,2월,음악/월드뮤직,국제 월드뮤직 대형 축제,https://www.udaipurworldmusicfestival.com,02/07 ~ 02/09
Bun Festival,홍콩,청차우,4월 5월,전통/음식,빵탑 오르기‧퍼레이드,https://www.discoverhongkong.com,05/03 ~ 05/06
Angkor Wat International Half Marathon,캄보디아,앙코르와트,12월,스포츠/이색,유네스코 유적 마라톤,https://www.angkormarathon.org,12/07 
Borobudur Vesak Festival,인도네시아,자바(보로부두르),5월,종교/불교,세계문화유산 불교 등불제,https://borobudurmarathon.co.id,05/12
Jeju Seongsan Sunrise Festival,대한민국,제주도,1월,일출/전통,성산일출봉 해맞이 행사,https://www.visitjeju.net,01/01
Kolkata International Film Festival,인도,콜카타,1월,영화,인도의 대표 독립영화 축제,https://kiff.in,01/05 ~ 01/12
Wakakusa Yamayaki,일본,나라,1월,불/전통,산불 놀이와 불꽃놀이,https://narashikanko.jp,01/25
Korea Grand Sale,대한민국,전국,2월 3월,쇼핑/관광,대규모 관광/쇼핑·체험 페스티벌,https://www.koreagrandsale.co.kr,01/15 ~ 02/28
Hungry Ghost Festival,대만,전국,8월,전통/종교,귀신위령제 퍼레이드,https://eng.taiwan.net.tw,08/06 ~ 08/31
Phuket Vegetarian Festival,태국,푸껫,10월,음식/종교,채식·극기행위 독특한 불교제,https://www.tourismthailand.org,09/28 ~ 10/07 
Ulaanbaatar Summer Festival,몽골,울란바토르,7월,문화/체험,몽골 여름 관광 대표행사,https://www.go-mongolia.com,07/10 ~ 07/13
Guwahati International Film Festival,인도,구와하티,10월,영화,동북인도 영화산업,https://giiff.in,10/27 ~ 11/02 
Sapporo Autumn Fest,일본,삿포로,9월,음식/가을,홋카이도 음식 대축제,https://www.sapporo-autumnfest.jp,09/06 ~ 09/29 
Siem Reap Water Festival,캄보디아,시엠립,11월,물/문화,메콩강 수위와 연계 수상퍼레이드,https://www.tourismcambodia.com,11/05 ~ 11/07 
Bali Kite Festival,인도네시아,덴파사르,7월 8월 9월 10월,전통/체험,전통연·경기 가득한 바람축제,https://www.balitourismboard.org,07/14 ~ 10/20
Jodhpur RIFF (Rajasthan International Folk Festival),인도,조드푸르,10월,음악/전통,인도 전통/포크음악 대표 국제제,https://jodhpurriff.org,10/24 ~ 10/27 
Goa Carnival,인도,고아,2월 3월,퍼레이드/음식,포르투갈식 카니발 퍼레이드,https://www.goa-tourism.com,02/28 ~ 03/04
Yokohama Jazz Promenade,일본,요코하마,10월,음악/재즈,일본 최대 도시형 재즈 축제,https://jazzpro.jp,10/11 ~ 10/12 
Tainan International Mango Festival,대만,타이난,5월 6월 7월,음식,망고 전문 미식+농업 체험,https://www.twtainan.net,05/25 ~ 07/21
Sun Moon Lake Fireworks-Music Festival,대만,난터우,10월,불꽃/음악,호수변 음악+불꽃 대축제,https://www.sunmoonlake.gov.tw,10/19 ~ 11/16 
Asia Cosmopolitan Awards Ceremony,일본,나라,12월,문화/국제,아시아 네트워크 시상 축제,https://www.asiacosmopolitanawards.org,12/11 
Yilan International Children's Folklore & Folkgame Festival,대만,이란,7월 8월,놀이/어린이,아동 민속놀이·세계문화,https://www.yicfff.tw,07/06 ~ 08/18
